"sampleID"	"month"	"subplot"	"x"	"y"	"OTU_all_taxa"
1	"April"	1	0.835	8.75	20
2	"April"	1	0.835	8.25	20
3	"April"	2	2.505	8.75	23
4	"April"	2	2.505	8.25	22
5	"April"	3	3.68	9.75	20
6	"April"	3	3.68	9.25	20
7	"April"	4	5.845	9.75	24
8	"April"	4	5.845	9.25	16
9	"April"	5	7.515	9.75	19
10	"April"	5	7.515	9.25	21
11	"April"	6	9.185	8.75	19
12	"April"	6	9.185	8.25	22
13	"April"	7	0.835	7.75	19
14	"April"	7	0.835	7.25	19
15	"April"	8	3	6.75	18
16	"April"	8	3	6.25	21
17	"April"	9	3.68	6.75	21
18	"April"	9	3.68	6.25	18
19	"April"	10	6.34	7.75	17
20	"April"	10	6.34	7.25	25
21	"April"	11	7.515	7.75	21
22	"April"	11	7.515	7.25	22
23	"April"	12	9.185	6.75	17
24	"April"	12	9.185	6.25	21
25	"April"	13	0.34	5.75	26
26	"April"	13	0.34	5.25	31
27	"April"	14	2.505	5.75	23
28	"April"	14	2.505	5.25	22
29	"April"	15	3.68	5.75	25
30	"April"	15	3.68	5.25	24
31	"April"	16	5.35	5.75	29
32	"April"	16	5.35	5.25	23
33	"April"	17	7.515	5.75	19
34	"April"	17	7.515	5.25	19
35	"April"	18	9.68	5.75	37
36	"April"	18	9.68	5.25	27
37	"April"	19	1.33	2.75	23
38	"April"	19	1.33	2.25	14
39	"April"	20	3	2.75	20
40	"April"	20	3	2.25	22
41	"April"	21	3.68	3.75	21
42	"April"	21	3.68	3.25	20
43	"April"	22	5.35	3.75	22
44	"April"	22	5.35	3.25	20
45	"April"	23	7.02	2.75	23
46	"April"	23	7.02	2.25	23
47	"April"	24	9.68	2.75	21
48	"April"	24	9.68	2.25	24
49	"April"	25	0.34	0.75	16
50	"April"	25	0.34	0.25	19
51	"April"	26	3	0.75	18
52	"April"	26	3	0.25	20
53	"April"	27	4.67	1.75	19
54	"April"	27	4.67	1.25	18
55	"April"	28	6.34	1.75	17
56	"April"	28	6.34	1.25	20
57	"April"	29	7.515	1.75	22
58	"April"	29	7.515	1.25	12
59	"April"	30	8.69	1.75	20
60	"April"	30	8.69	1.25	27
61	"May"	1	1.33	8.75	22
62	"May"	1	1.33	8.25	23
63	"May"	2	3	8.75	23
64	"May"	2	3	8.25	23
65	"May"	3	4.175	8.75	21
66	"May"	3	4.175	8.25	22
67	"May"	4	6.34	8.75	21
68	"May"	4	6.34	8.25	19
69	"May"	5	7.02	8.75	23
70	"May"	5	7.02	8.25	22
71	"May"	6	9.185	9.75	28
72	"May"	6	9.185	9.25	24
73	"May"	7	1.33	7.75	19
74	"May"	7	1.33	7.25	22
75	"May"	8	3	7.75	21
76	"May"	8	3	7.25	22
77	"May"	9	4.67	7.75	20
78	"May"	9	4.67	7.25	18
79	"May"	10	5.35	7.75	24
80	"May"	10	5.35	7.25	24
81	"May"	11	7.02	7.75	22
82	"May"	11	7.02	7.25	24
83	"May"	12	8.69	7.75	25
84	"May"	12	8.69	7.25	20
85	"May"	13	0.835	4.75	23
86	"May"	13	0.835	4.25	23
87	"May"	14	3	4.75	30
88	"May"	14	3	4.25	25
89	"May"	15	4.175	5.75	24
90	"May"	15	4.175	5.25	26
91	"May"	16	5.845	4.75	31
92	"May"	16	5.845	4.25	20
93	"May"	17	7.02	4.75	22
94	"May"	17	7.02	4.25	24
95	"May"	18	9.185	5.75	25
96	"May"	18	9.185	5.25	20
97	"May"	19	1.33	3.75	28
98	"May"	19	1.33	3.25	31
99	"May"	20	2.01	2.75	30
100	"May"	20	2.01	2.25	21
101	"May"	21	4.175	3.75	23
102	"May"	21	4.175	3.25	22
103	"May"	22	6.34	3.75	32
104	"May"	22	6.34	3.25	24
105	"May"	23	7.515	2.75	29
106	"May"	23	7.515	2.25	15
107	"May"	24	9.185	2.75	32
108	"May"	24	9.185	2.25	22
109	"May"	25	0.835	0.75	23
110	"May"	25	0.835	0.25	25
111	"May"	26	2.505	0.75	18
112	"May"	26	2.505	0.25	23
113	"May"	27	4.67	0.75	23
114	"May"	27	4.67	0.25	27
115	"May"	28	5.845	0.75	19
116	"May"	28	5.845	0.25	21
117	"May"	29	8.01	1.75	17
118	"May"	29	8.01	1.25	23
119	"May"	30	8.69	0.75	23
120	"May"	30	8.69	0.25	20
121	"June"	1	0.835	9.75	28
122	"June"	1	0.835	9.25	31
123	"June"	2	3	9.75	23
124	"June"	2	3	9.25	25
125	"June"	3	4.67	8.75	18
126	"June"	3	4.67	8.25	25
127	"June"	4	6.34	9.75	26
128	"June"	4	6.34	9.25	17
129	"June"	5	7.515	8.75	30
130	"June"	5	7.515	8.25	29
131	"June"	6	9.68	9.75	23
132	"June"	6	9.68	9.25	24
133	"June"	7	1.33	6.75	19
134	"June"	7	1.33	6.25	24
135	"June"	8	2.505	7.75	27
136	"June"	8	2.505	7.25	23
137	"June"	9	4.175	6.75	18
138	"June"	9	4.175	6.25	26
139	"June"	10	5.845	7.75	25
140	"June"	10	5.845	7.25	31
141	"June"	11	7.02	6.75	21
142	"June"	11	7.02	6.25	19
143	"June"	12	9.68	6.75	27
